Title,Price,Date,Link
"Christopher Ranch White Garlic 3 pack, 3 oz.",1.79,2024-05-22,https://www.amazon.com/Christopher-Ranch-White-Garlic-pack/dp/B09B323RJV/ref=sr_1_1_f3_wg?almBrandId=QW1hem9uIEZyZXNo&fpw=alm&s=amazonfresh&sr=1-1
"Church Brothers Farms Broccoli Florets, 12 Oz",2.69,2024-05-22,https://www.amazon.com/Church-Brothers-Farms-Broccoli-Florets/dp/B09GWDQZW3/ref=sr_1_5_f3_wg?almBrandId=QW1hem9uIEZyZXNo&fpw=alm&s=amazonfresh&sr=1-5
Organic Bananas,1.59,2024-05-22,https://www.amazon.com/Dole-Organic-Bananas-Bag/dp/B07ZLF9G83?pd_rd_i=B07ZLF9G83&fpw=alm&almBrandId=QW1hem9uIEZyZXNo&ref_=pd_alm_fs_dsk_sf_ai_16318981_1_1_i
"Amazon Fresh Brand, Organic Basil, 0.5 Oz",1.99,2024-05-22,https://www.amazon.com/Fresh-Brand-Organic-Basil-0-5/dp/B097F282FC/ref=sr_1_2_f3_wg?almBrandId=QW1hem9uIEZyZXNo&fpw=alm&s=amazonfresh&sr=1-2
"Amazon Fresh Brand, Russet Potatoes, 5 Lb",2.90,2024-05-22,https://www.amazon.com/Fresh-Brand-Russet-Potatoes/dp/B07XW1TNXZ/ref=sr_1_1_f3_wg?almBrandId=QW1hem9uIEZyZXNo&fpw=alm&s=amazonfresh&sr=1-1
"Amazon Fresh Brand, Stoplight Bell Peppers, 3 Count",2.99,2024-05-22,https://www.amazon.com/Fresh-Brand-Stoplight-Bell-Peppers/dp/B086WXFWP4/ref=sr_1_2_f3_wg?almBrandId=QW1hem9uIEZyZXNo&fpw=alm&s=amazonfresh&sr=1-2
"Amazon Fresh Brand, On The Vine Tomatoes, 24 Oz",2.99,2024-05-22,https://www.amazon.com/Fresh-Brand-Vine-Tomatoes/dp/B086WX15TH/ref=sr_1_2_f3_wg?almBrandId=QW1hem9uIEZyZXNo&fpw=alm&s=amazonfresh&sr=1-2
Medium Hass Avocado,0.99,2024-05-22,https://www.amazon.com/Hass-Avocado-Large-Ready-Eat/dp/B000NOGKN4?pd_rd_i=B000NOGKN4&fpw=alm&almBrandId=QW1hem9uIEZyZXNo&ref_=pd_alm_fs_dsk_sf_ai_16318981_1_5_i
"Organic Honeycrisp Apple, 1 Each",1.59,2024-05-22,https://www.amazon.com/Organic-Honeycrisp-Apple-One-Medium/dp/B001GIP2A8/ref=sr_1_3_f3_wg?almBrandId=QW1hem9uIEZyZXNo&fpw=alm&s=amazonfresh&sr=1-3
"365 by Whole Foods Market, Organic Carrots, 1 lb Bag",1.49,2024-05-22,https://www.amazon.com/Tanimura-Antle-Cilantro-1-Bunch/dp/B08731HWZV/ref=sr_1_1_f3_wg?almBrandId=QW1hem9uIEZyZXNo&fpw=alm&s=amazonfresh&sr=1-1
"Lemon, 1 Each",0.59,2024-05-22,https://www.amazon.com/Tanimura-Antle-Italian-Parsley-Bunch/dp/B08731FV2H/ref=sr_1_1_f3_wg?almBrandId=QW1hem9uIEZyZXNo&fpw=alm&s=amazonfresh&sr=1-1
"Yellow Onion, 1 Each",0.79,2024-05-22,https://www.amazon.com/Taylor-Farms-65107-Spinach-Bag/dp/B00KMM8I6Y/ref=sr_1_2_f3_wg?almBrandId=QW1hem9uIEZyZXNo&fpw=alm&s=amazonfresh&sr=1-2
"Strawberries, 1 Lb",3.39,2024-05-22,https://www.amazon.com/produce-aisle-203892-Organic-Carrots/dp/B00E3JELZ4/ref=sr_1_1_f3_wg?almBrandId=QW1hem9uIEZyZXNo&fpw=alm&s=amazonfresh&sr=1-1
"Tanimura & Antle, Cilantro, 1 Each",1.89,2024-05-22,https://www.amazon.com/produce-aisle-Lemon-One-Medium/dp/B001L1KRNC/ref=sr_1_1_f3_wg?almBrandId=QW1hem9uIEZyZXNo&fpw=alm&s=amazonfresh&sr=1-1
"Italian Parsley, 1 Bunch",1.89,2024-05-22,https://www.amazon.com/produce-aisle-Strawberries-1-lb/dp/B000P6J0SM?pd_rd_i=B000P6J0SM&fpw=alm&almBrandId=QW1hem9uIEZyZXNo&ref_=pd_alm_fs_dsk_sf_ai_16318981_1_3_i
"Taylor Farms Spinach, 9 oz Bag",2.79,2024-05-22,https://www.amazon.com/produce-aisle-mburring-Yellow-Onion/dp/B001W3T2SK/ref=sr_1_1_f3_wg?almBrandId=QW1hem9uIEZyZXNo&fpw=alm&s=amazonfresh&sr=1-1
"Christopher Ranch White Garlic 3 pack, 3 oz.",1.79,2024-05-22,https://www.amazon.com/Christopher-Ranch-White-Garlic-pack/dp/B09B323RJV/ref=sr_1_1_f3_wg?almBrandId=QW1hem9uIEZyZXNo&fpw=alm&s=amazonfresh&sr=1-1
"Church Brothers Farms Broccoli Florets, 12 Oz",2.69,2024-05-22,https://www.amazon.com/Church-Brothers-Farms-Broccoli-Florets/dp/B09GWDQZW3/ref=sr_1_5_f3_wg?almBrandId=QW1hem9uIEZyZXNo&fpw=alm&s=amazonfresh&sr=1-5
Organic Bananas,1.59,2024-05-22,https://www.amazon.com/Dole-Organic-Bananas-Bag/dp/B07ZLF9G83?pd_rd_i=B07ZLF9G83&fpw=alm&almBrandId=QW1hem9uIEZyZXNo&ref_=pd_alm_fs_dsk_sf_ai_16318981_1_1_i
"Amazon Fresh Brand, Organic Basil, 0.5 Oz",1.99,2024-05-22,https://www.amazon.com/Fresh-Brand-Organic-Basil-0-5/dp/B097F282FC/ref=sr_1_2_f3_wg?almBrandId=QW1hem9uIEZyZXNo&fpw=alm&s=amazonfresh&sr=1-2
"Amazon Fresh Brand, Russet Potatoes, 5 Lb",2.90,2024-05-22,https://www.amazon.com/Fresh-Brand-Russet-Potatoes/dp/B07XW1TNXZ/ref=sr_1_1_f3_wg?almBrandId=QW1hem9uIEZyZXNo&fpw=alm&s=amazonfresh&sr=1-1
"Amazon Fresh Brand, Stoplight Bell Peppers, 3 Count",2.99,2024-05-22,https://www.amazon.com/Fresh-Brand-Stoplight-Bell-Peppers/dp/B086WXFWP4/ref=sr_1_2_f3_wg?almBrandId=QW1hem9uIEZyZXNo&fpw=alm&s=amazonfresh&sr=1-2
